support_id,source_tav01s_presence,pt_master_presence,support_class,original_foundation_documentation,evidence_status,current_foundation_state,required_action,note
1,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
2,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
3,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
4,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
5,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
6,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
7,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
8,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
9,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
10,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
11,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
12,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
13,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
14,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
15,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
16,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
17,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
18,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
19,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
20,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
21,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
22,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
22',YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind distinct 22-prime foundation intersection/member; never merge with 22.",
23,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
24,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
25,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
26,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
27,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
28,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
29,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
30,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"TAV-01S shows the support within the lower-central foundation geometry; bind exact footprint/member intersection separately.",
31,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
32,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
33,YES,YES,HISTORICAL_NUMBERED_SUPPORT,DIRECTLY_SHOWN,DOC,FOUNDATION_NODE_TO_BIND,"Bind exact foundation intersection/member and faces from TAV-01S.",
a,NO,YES,TERRACE_ADDED_SUPPORT,ABSENT_FROM_ORIGINAL_TAV01S,DOC_ABSENCE_IN_ORIGINAL_SOURCE,CURRENT_FOUNDATION_ND,"Determine actual/as-built foundation/support condition from later documents, survey or investigation; do not inherit a historical foundation node.","Absence is documentary only for the original foundation plan and does not prove absence of an as-built foundation."
b,NO,YES,TERRACE_ADDED_SUPPORT,ABSENT_FROM_ORIGINAL_TAV01S,DOC_ABSENCE_IN_ORIGINAL_SOURCE,CURRENT_FOUNDATION_ND,"Determine actual/as-built foundation/support condition from later documents, survey or investigation; do not inherit a historical foundation node.","Absence is documentary only for the original foundation plan and does not prove absence of an as-built foundation."
c,NO,YES,TERRACE_ADDED_SUPPORT,ABSENT_FROM_ORIGINAL_TAV01S,DOC_ABSENCE_IN_ORIGINAL_SOURCE,CURRENT_FOUNDATION_ND,"Determine actual/as-built foundation/support condition from later documents, survey or investigation; do not inherit a historical foundation node.","Absence is documentary only for the original foundation plan and does not prove absence of an as-built foundation."
d,NO,YES,TERRACE_ADDED_SUPPORT,ABSENT_FROM_ORIGINAL_TAV01S,DOC_ABSENCE_IN_ORIGINAL_SOURCE,CURRENT_FOUNDATION_ND,"Determine actual/as-built foundation/support condition from later documents, survey or investigation; do not inherit a historical foundation node.","Absence is documentary only for the original foundation plan and does not prove absence of an as-built foundation."
